plant,height
28.4,28
1.2,12.5
1.6,16.5
122.4,16.5
87.2,18
87.6,24
74.4,10.5
28.3,21
1.1,16
1.5,12
122.3,7
7.1,11.5
87.5,15
74.3,6.5
74.5,16.5
74.1,21.5
87.3,13.5
122.5,13.5
122.1,13.5
1.3,10
28.5,20
28.1,26.5
74.6,6
74.2,14
87.4,8.5
122.6,10.5
122.2,10
1.4,16
28.6,13.5
28.2,15.5
13.4,10.5
56.2,6.5
56.6,7.5
49.4,7.5
69.4,9
124.2,10.5
13.3,10
56.1,7
56.5,8.5
49.3,12
69.3,6
124.1,10.5
124.5,11
124.3,9
69.5,11
49.5,3
49.1,7.5
56.3,4.5
13.5,9.5
13.1,13
124.4,dead
69.6,6
49.6,12.5
49.2,6
56.4,11.5
13.6,12.5
13.2,12
27.2,11
42.4,7
88.6,8.5
88.2,8
127.3,6.5
25.5,16.5
25.1,14.5
27.4,14.5
42.5,12
42.1,9.5
88.3,13.5
127.4,15.5
25.6,16.5
25.2,22
25.4,15
127.2,18
127.6,12.5
88.5,10.5
42.3,10.5
27.1,11.5
27.6,11
25.3,22.5
127.1,13.5
127.5,15
88.4,9
42.2,7.5
42.6,9.5
27.5,15.5
119.1,12
102.4,22.5
60.4,17
116.3,21
137.1,8
137.5,9.5
119.5,18
40.3,14
119.4,9.5
60.3,7
116.2,14
116.6,10
137.4,12.5
137.6,12
137.2,8
40.1,18
60.5,16.5
60.1,13.5
119.3,21.5
116.1,13
116.5,14.5
80.3,20.5
40.2,14.5
60.2,13
119.2,14.5
116.4,9
137.3,11
12.6,15
12.4,14
19.6,13.5
95.3,11
58.5,11
95.4,11.5
19.2,dead
45.5,15
95.2,12.5
45.4,17.5
19.5,10.5
19.1,16
12.3,11.5
58.3,17
58.1,10.5
58.2,21
19.4,10.5
58.6,11.5
19.3,13
12.2,12.5
95.5,10
95.1,16.5
45.3,13
58.4,9.5
12.1,12.5
145.1,12
17.2,8
35.5,12
18.1,9
17.3,14
22.6,20.5
33.1,16
22.3,11.5
18.5,12
145.2,8.5
18.6,8
17.4,7
33.6,12.5
18.2,10.5
22.5,13
145.3,9.5
33.2,15.5
17.5,dead
22.1,12.5
17.1,10
145.4,11
18.3,20
17.6,8
22.4,12.5
33.4,12.5
22.2,10.5
18.4,14.5
33.3,8.5
145.5,10
131.6,15.5
131.3,10
80.6,12.5
131.4,12.5
80.4,17.5
80.2,19
131.1,15
80.5,17
107.6,23
135.3,19
107.4,12
135.4,18
107.2,21.5
131.2,16.5
75.5,10.5
107.5,14.5
75.2,12
75.3,15
131.5,14
80.1,17.5
75.6,12
135.2,15.5
135.1,19.5
107.3,15.5
66.5,11
66.1,10.5
32.5,13
4.5,16.5
66.6,11.5
129.1,10.5
4.1,12
76.3,14
129.2,11.5
66.2,12
4.6,10.5
66.4,6.5
76.5,11.5
76.1,18.5
129.3,13
4.3,15
76.6,13.5
66.3,9
4.2,15.5
76.4,6
76.2,14
124.2,12.5
32.2,9.5
4.4,9.5
32.1,12
32.6,13
48.6,12.5
14.5,13.5
31.4,12
64.6,13
64.5,11.5
20.2,9.5
14.4,10
64.2,11.5
64.1,17.5
20.4,12
31.3,9.5
48.5,12.5
20.6,15
31.6,dead
14.2,11.5
64.3,10
31.5,15.5
31.1,13
64.4,7.5
48.4,17
20.1,13.5
31.2,18.5
48.3,13.5
48.2,13.5
14.1,9
14.6,20.5
20.5,15
48.1,14
146.5,11.5
21.2,15
21.5,12
21.3,14.5
100.5,15
100.1,11
105.3,14
138.5,16.5
146.2,10
100.4,9.5
105.6,15.5
105.2,10
138.4,14.5
21.4,17.5
146.6,10
100.6,12.5
100.2,14
105.4,18
138.6,19
138.1,16
21.1,8
146.1,12.5
100.3,22.5
105.5,dead
105.1,21.5
138.3,23.5
68.4,15.5
132.4,15
72.6,8
72.2,17.5
8.4,19
132.3,16.5
72.5,6
72.1,10
8.3,12.5
61.6,12.5
61.5,15.5
61.2,16
68.3,11
61.1,9.5
132.6,16.5
132.2,10
72.4,12
8.6,13
8.2,14
61.4,6.5
68.6,9
68.2,dead
132.5,15
132.1,13
72.3,12.5
8.5,8
61.3,11
68.1,9.5
8.1,9
68.5,9
47.6,11
7.3,13.5
7.2,14
47.1,6.5
47.4,10
47.3,10.5
47.2,11
79.3,9
79.6,22.5
79.5,26
79.4,11.5
44.2,17
79.2,12.5
94.4,14
79.1,8.5
44.3,9
44.1,15
94.3,19.5
94.6,16
94.2,22.5
94.5,16
94.1,10
5.4,6
5.2,10.5
5.1,6
5.6,9.5
92.1,9
92.2,11.5
92.3,11
92.4,14
92.5,12
92.6,7
3.1,8.5
3.2,13
3.3,6
3.4,8
3.5,13
3.6,11
54.1,8.5
54.2,7
54.3,9
54.4,11.5
54.5,8.5
54.6,7.5
133.1,14
133.2,12.5
133.3,11.5
133.6,17
133.4,13.5
5.5,dead
133.5,14
97.2,13.5
97.1,10
97.3,9
97.6,7
97.4,13.5
97.5,13.5
78.1,12
78.2,21
78.4,11
78.5,9.5
78.6,23
78.3,10.5
62.2,7
62.1,8.5
62.5,12
62.4,14.5
52.4,20.5
52.3,20
52.2,7.5
52.1,6
52.5,9.5
52.6,7.5
144.1,10
144.2,11.5
144.6,11
144.5,15.5
144.4,5
144.3,11
128.6,15.5
128.5,12
128.1,13
128.2,15
128.3,15.5
128.4,14
120.3,13
120.4,15.5
120.5,16.5
120.6,12.5
89.5,14
89.6,26.5
120.1,11.5
89.1,11
120.2,15
89.2,23.5
89.3,31
89.4,32.5
65.4,10
65.5,13.5
65.6,8
65.2,10.5
2.4,11
2.5,10.5
65.1,8.5
2.3,5
114.6,14.5
2.1,10.5
2.2,dead
114.5,7
114.2,11
114.3,dead
114.4,10
114.1,10
108.4,dead
108.5,11
108.6,10
108.3,20.5
93.5,11.5
108.1,8
108.2,9
93.5,10
93.4,7
93.3,14.5
93.2,11
43.2,8.8
43.4,9.3
43.3,9.6
23.4,15
43.1,11.5
123.4,11.5
23.3,11.1
23.6,14.5
23.5,15.5
23.2,15.8
23.1,19.8
123.3,11.7
123.2,15
123.1,12.5
77.6,14.2
77.3,21.5
77.4,18.3
77.5,15
140.5,12.7
140.1,11.3
140.6,14.3
140.2,12.4
77.1,15.6
140.3,12.4
77.2,24.2
140.4,14.8
26.6,10.2
26.5,14.6
26.2,12.1
26.1,11.6
26.3,13.6
26.4,14.5
38.3,12.2
38.4,9.2
38.5,9.7
38.6,8.9
126.6,10.1
126.5,9.6
38.1,10.9
38.2,11.7
126.1,12.3
126.2,9.7
126.3,10.5
126.4,12.8
36.2,13.5
36.1,12.7
36.3,9.8
36.4,13.7
39.1,10.5
39.2,14.6
39.4,12.8
39.5,19.4
104.1,14.2
104.6,12.1
104.4,22.8
142.6,13
104.1,12.5
104.2,12.6
104.3,7.3
142.4,7.1
142.3,9.1
142.1,11.5
24.6,10.5
24.2,16
24.3,13
24.4,9.5
24.5,11.5
24.1,14
10.6,12
10.5,8.5
10.4,16
73.5,30.5
73.1,25.5
10.1,17.5
73.2,26
10.2,9
73.3,8
73.4,9
10.3,9
125.6,16
125.5,16.5
125.4,15.5
99.6,30.5
125.1,14.5
125.3,dead
125.2,dead
99.5,13
99.4,13.5
99.2,19.5
99.1,16.5
11.3,15
51.4,14.5
11.4,dead
11.5,18.5
11.6,15
11.2,8.5
51.5,11.5
11.1,11
67.1,7
67.2,10
51.1,10
51.2,12.5
67.1,9.5
67.3,10.5
51.3,11
67.5,20
90.6,15.5
90.1,11.5
90.2,10.5
90.4,16
90.3,8.5
147.5,8
147.3,7
147.2,15
196.5,11.5
96.4,12.5
96.3,12.5
96.2,8
96.1,11
111.6,19
111.5,16.5
111.2,18
111.1,13
111.4,19.5
111.3,11.5
15.6,14
15.5,9
15.4,13.5
15.3,18.5
15.2,18
15.1,17
135.2,15.5
135.4,18.5
135.1,20
107.6,23
135.3,19
107.4,12
107.5,14.5
75.6,12.5
75.5,11
107.3,16
107.2,21
80.5,17
79.3,15
75.2,12.5
131.4,12.5
131.2,16.5
131.1,15
131.5,14
80.6,12.5
80.1,17.5
80.2,18
807.4,18
131.3,10
131.6,15.5
148.4,11.5
148.3,10.5
34.5,10.5
148.2,12.5
34.6,20
34.4,8
34.3,21.5
34.2,16
6.6,10
6.4,17
6.5,10.5
6.3,13
6.2,16.5
59.3,10
59.4,14.5
6.1,14.5
59.2,11
9.6,10
59.1,16
9.4,16
9.5,14
9.3,13.5
9.2,10.5
9.1,9.5
86.6,19
86.5,9
86.4,11.5
115.6,14
86.1,9
86.2,9.5
86.3,70.5
115.3,13
115.5,13
115.4,10
115.2,13.5
115.1,7
55.6,9
55.5,8
55.3,10.5
55.2,11
55.1,11.5
130.5,10.5
130.4,12
103.3,11
130.2,13.5
130.1,10.5
136.5,15
136.4,11
136.5,18
136.2,15
136.1,15
82.1,15
82.2,24
82.3,16
82.4,10
134.3,12
134.4,12
134.5,13.5
134.6,14
85.5,11
85.6,20
134.1,13
134.2,15.5
85.3,16.5
85.4,14.5
85.2,17
85.1,12.5
141.3,18.5
141.4,11.5
141.5,11.5
141.6,9.5
91.5,15
91.6,15.5
141.1,19
141.2,11
91.1,32
91.2,18
91.5,15
91.4,20
143.5,8
143.4,10.5
143.3,13
103.6,14.5
103.5,9
103.4,12
103.3,16
103.2,14
103.1,15.5
106.6,20
106.5,15
106.4,11
106.3,10
106.2,18
37.2,9
106.1,16.5
37.4,8
37.3,12
16.2,10.5
37.1,27.5
16.6,6.5
16.5,13.5
16.1,33
121.6,9
121.2,13
121.3,12
121.4,11
121.5,17
81.3,13.5
81.4,7.5
81.5,14.5
121.1,11.5
102.5,8
102.6,9.5
81.1,6.5
81.2,8.5
102.1,12.5
102.2,7
102.3,13.5
109.3,15
109.4,8
109.5,12.5
109.6,10.5
117.5,12.5
117.6,11.5
109.1,18.5
109.2,17
117.1,21.5
117.2,14.5
117.3,24.5
117.4,12.5
118.1,13.5
118.2,12.5
118.3,17.5
118.4,11.5
110.2,dead
110.3,15.5
110.4,12
110.5,11.5
84.2,14.5
84.4,11
110.1,20.5
29.4,16
84.3,15.5
29.6,20.5
84.1,11.5
29.5,14
29.2,20.5
29.3,9.5
149.3,11
29.1,18
149.1,14
149.2,
57.3,dead
57.4,18
57.5,9
57.6,7.5
35.5,7.5
35.6,dead
57.1,11
57.2,8
35.1,10
35.2,11.5
35.3,16.5
35.4,10
41.3,14
41.4,9
41.5,10.5
41.6,6.5
101.3,14.5
101.4,14
101.5,11.5
41.2,6.5
98.5,19.5
98.6,16.5
101.1,19
101.2,10.5
98.1,14
98.2,dead
98.3,16.5
98.4,15
50.2,18.5
50.3,7
50.4,17
50.5,9
113.4,11.5
113.5,18
113.6,8
50.1,9
30.6,11.5
113.1,14.5
113.2,13
113.3,16
30.2,20.5
30.3,11
30.4,6
30.5,9
46.4,22
46.5,15
46.6,13
30.1,4
53.5,14.5
53.6,15
46.1,7
46.2,12
53.1,12
53.2,11.5
53.3,6
53.4,11.5
71.5,12.5
139.3,11.5
71.3,dead
71.2,8
71.1,dead
63.1,8.5
139.2,8.5
139.1,9
71.6,6
70.1,6.5
139.6,10
139.5,10
139.4,9.5
70.6,9
63.4,14.5
63.3,13.5
63.2,9
112.4,12
70.5,15.5
70.3,8
70.2,8.5
112.6,19.5
112.3,18.5
112.2,22.5
112.1,7.5
112.5,22
