id,seed_size,germ_day,day_3,day_4,day_5,day_7,day_10,day_14,day_17,death_day
1_1,0.31,4,,0.473,1.915,4.016,7.821,,,
1_2,0.308,4,,1.898,3.133,5.999,15.602,57.068,117.501,3
1_3,0.286,4,,1.157,2.574,5.083,12.519,41.987,82.41,3
1_4,0.345,,,,,,3.07,7.941,17.458,3
1_5,0.305,,,,,,,,,
1_6,0.282,4,,1.902,3.121,5.821,15.021,47.842,129.17,4
1_7,0.343,4,,0.867,1.546,2.988,7.201,30.718,76.033,4
1_8,0.264,4,,1.55,2.754,4.706,7.759,15.99,29.629,3
1_9,0.404,3,0.896,2.554,4.091,7.494,16.552,58.164,153.083,4
1_10,0.23,4,,1.53,2.603,5.166,13.593,46.028,98.458,4
1_11,0.314,4,,0.898,2.074,3.947,9.371,31.054,72.363,4
1_12,0.327,4,,1.344,2.633,4.201,7.968,22.386,55.157,4
1_13,0.289,4,,0.415,1.372,2.669,5.199,19.045,48.336,4
1_14,0.302,4,,1.319,2.502,4.746,10.758,33.244,75.656,4
1_15,0.257,4,,0.477,1.484,3.063,6.852,22.821,50.568,4
1_16,0.342,6,,,,4.349,7.916,24.152,55.247,4
1_17,0.335,4,,1.568,2.835,4.861,10.312,29.702,78.535,4
1_18,0.274,4,,1.646,2.809,5.023,10.65,32.314,77.616,3
1_19,0.272,5,,,2.497,4.438,9.444,23.495,47.275,4
1_20,0.272,4,,1.693,2.761,4.441,10.464,30.395,64.524,3
1_21,0.353,,,,,,,,,
1_22,0.309,4,,1.441,2.421,4.751,10.798,22.562,16.789,3
1_23,0.251,6,,,,1.983,4.481,13.586,32.871,3
1_24,0.329,5,,,1.294,2.228,4.337,3.262,,
1_25,0.327,,,,,,,,,
1_26,0.307,,,,,,,,,
1_27,0.308,3,0.735,2.263,3.35,6.199,15.682,52.825,94.825,3
1_28,0.285,4,,1.101,2.269,4.245,9.661,28.741,64.598,4
1_29,0.341,4,,1.78,3.296,6.254,13.246,37.277,82.715,4
1_30,0.281,6,,,,2.658,6.958,20.438,53.751,4
1_31,0.278,,,,,,,,,
1_32,0.262,4,,1.153,2.235,3.617,7.13,16.183,23.918,3
1_33,0.281,,,,,,,,18.744,
1_34,0.303,4,,1.302,2.715,4.844,11.788,36.499,94.744,4
1_35,0.265,3,0.568,1.7,2.658,4.946,13.163,45.054,109.882,4
1_36,0.339,,,,,,,,,
1_37,0.339,,,,,,,,,
1_38,0.245,4,,1.622,2.563,4.723,10.808,32.379,74.776,3
1_39,0.359,3,0.656,2.442,4.222,8.233,20.151,65.472,146.383,4
1_40,0.33,4,,1.732,2.798,4.442,8.729,27.31,59.292,3
1_41,0.257,4,,1.031,1.939,2.967,6.526,18.462,47.665,3
1_42,0.318,,,,,,,,,
1_43,0.343,,,,,,,,,
1_44,0.355,4,,0.582,1.539,3.074,6.114,7.354,,
1_45,0.211,,,,,,,,,
1_46,0.288,5,,,1.338,3.297,7.156,21.746,54.535,4
1_47,0.313,,,,,,,,,
1_48,0.305,4,,1.449,2.449,4.079,8.138,18.651,45.124,4
1_49,0.296,4,,1.259,2.573,5.176,10.308,33.667,78.536,4
1_50,0.237,4,,1.077,1.811,3.005,6.573,21.352,56.904,4
1_51,0.297,,,,,,,,,
1_52,0.333,4,,1.069,2.836,3.652,,,,
1_53,0.302,5,,,1.449,3.758,7.968,20.444,41.004,3
1_54,0.25,4,,1.56,2.481,4.161,9.553,33.797,79.188,4
1_55,0.326,4,,2.017,3.564,6.485,13.396,41.965,109.984,4
1_56,0.313,4,,2.095,3.412,6.581,13.738,39.648,94.895,3
1_57,0.188,,,,,,,,,
1_58,0.327,4,,1.629,2.981,4.986,11.068,36.332,74.745,3
1_59,0.338,4,,2.044,3.186,5.905,13.854,46.705,117.787,4
1_60,0.291,5,,,1.559,3.576,,,,
1_61,0.262,,,,,,,,,
1_62,0.295,,,,,,,,,
1_63,0.302,4,,0.719,1.126,2.007,4.257,12.288,26.073,3
1_64,0.304,4,,1.259,2.419,2.033,,,,
1_65,0.335,4,,2.197,3.38,6.311,13.342,39.06,88.356,4
1_66,0.255,6,,,,1.464,3.115,10.501,22.017,3
1_67,0.392,3,1.304,2.54,3.881,6.98,13.993,34.847,73.222,3
1_68,0.221,4,,1.666,2.525,3.897,6.826,9.532,,
1_69,0.253,4,,0.691,1.671,3.309,7.385,26.014,53.023,4
1_70,0.272,4,,1.548,2.69,4.539,11.976,38.145,87.639,4
1_71,0.313,3,1.226,2.27,3.419,6.479,15.679,32.712,75.076,4
1_72,0.32,3,1.32,2.516,3.673,5.631,11.936,31.01,60.515,4
1_73,0.337,3,0.633,1.929,3.23,5.712,12.782,40.825,74.877,3
1_74,0.26,4,,1.04,2.058,3.373,6.775,21.624,45.502,4
1_75,0.31,4,,2.035,3.44,6.628,13.836,43.969,91.102,3
1_76,0.303,4,,1.534,2.507,4.462,9.389,25.698,44.991,3
1_77,0.332,5,,,,3.622,6.061,13.014,,
1_78,0.341,4,,0.988,2.393,4.745,10.229,33.939,64.401,4
1_79,0.344,,,,,,,,,
1_80,0.306,3,0.206,1.773,3.076,5.65,13.112,41.386,73.044,3
2_1,0.318,3,0.127,1.539,2.377,3.713,7.591,24.697,62.963,3
2_2,0.194,,,,,,,,,
2_3,0.301,4,,1.812,3.573,6.865,14.284,47.096,102.317,3
2_4,0.283,,,,,,,,,
2_5,0.294,,,,,,,,,
2_6,0.204,,,,,,,,,
2_7,0.268,3,1.01,,3.407,6.756,14.576,58.222,131.959,3
2_8,0.287,,,,,,,,,
2_9,0.36,4,,1.741,3.195,5.617,14.373,61.01,144.635,4
2_10,0.372,,,,,,,,,
2_11,0.344,4,,1.489,3.079,6.055,10.532,29.832,77.669,3
2_12,0.27,4,,0.639,1.842,3.607,8.239,29.82,74.257,3
2_13,0.243,5,,,1.445,2.929,6.854,28.48,65.674,3
2_14,0.356,3,1.675,3.106,4.792,9.265,23.401,73.45,150.651,3
2_15,0.285,,,,,,,,,
2_16,0.296,,,,,,,,,
2_17,0.313,3,0.644,1.839,2.985,5.015,10.337,33.783,62.537,3
2_18,0.299,3,0.888,2.397,3.799,6.802,16.198,56.096,131.033,4
2_19,0.351,,,,,,,,,
2_20,0.395,,,,,,,,,
2_21,0.343,4,,2.463,3.905,6.648,13.637,50.902,122.645,3
2_22,0.368,3,1.231,2.639,4.162,7.768,19.756,75.422,180.726,4
2_23,0.347,5,,,1.323,4.276,9.842,28.798,65.051,3
2_24,0.348,3,1.378,2.635,3.994,7.601,17.557,57.509,110.875,3
2_25,0.243,,,,,,,,,
2_26,0.34,3,0.715,2.036,3.232,5.874,13.752,50.978,128.028,4
2_27,0.283,4,,1.437,2.434,4.636,10.902,35.322,81.761,3
2_28,0.332,4,,1.658,2.79,4.959,10.729,34.087,75.965,3
2_29,0.288,4,,2.172,3.416,5.733,13.336,47.524,116.08,3
2_30,0.227,3,0.679,1.823,2.859,5.635,14.229,48.529,113.857,3
2_31,0.328,4,,1.239,2.827,5.315,11.682,35.433,84.876,3
2_32,0.326,,,,,,,,,
2_33,0.361,3,0.786,2.16,3.715,6.98,16.624,62.292,142.509,3
2_34,0.309,4,,1.654,3.138,5.849,14.121,50.794,116.419,3
2_35,0.288,4,,0.669,0.744,1.096,1.84,2.1,,
2_36,0.347,6,,,,2.127,3.481,3.819,7.011,3
2_37,0.309,4,,1.87,2.932,5.691,12.876,40.787,94.072,3
2_38,0.308,,,,,,,,,
2_39,0.339,4,,0.516,1.816,2.88,6.254,16.233,37.48,3
2_40,0.343,,,,,,,,,
2_41,0.342,3,0.562,2.28,3.831,7.068,17.506,66.236,147.187,3
2_42,0.292,3,1.122,2.526,3.744,7.302,17.746,60.271,127.782,3
2_43,0.348,4,,2.393,3.649,6.711,15.952,31.759,73.058,3
2_44,0.261,,,,,,,,,
2_45,0.321,3,0.585,1.9,3.915,6.846,18.57,69.915,146.229,3
2_46,0.33,6,,,,3.138,8.839,27.341,57.212,3
2_47,0.259,3,0.401,2.319,3.523,6.688,13.727,30.339,62.686,3
2_48,0.344,3,1.282,2.243,3.163,7.988,20.284,70.002,149.746,4
2_49,0.28,,,,,,,,,
2_50,0.251,,,,,,,,,
2_51,0.329,3,1.175,2.693,3.955,8.411,21.156,74.187,185.911,4
2_52,0.261,4,,1.476,2.988,5.957,12.956,33.098,89.568,4
2_53,0.332,3,0.895,2.347,3.672,6.539,16.018,40.369,83.481,3
2_54,0.353,4,,1.77,3.129,6.583,16.76,46.922,80.661,3
2_55,0.325,,,,,,,,,
2_56,0.296,5,,,2.009,2.897,6.2,9.568,20.789,3
2_57,0.344,5,,,1.513,2.003,3.911,10.837,24.967,3
2_58,0.302,4,,2.36,3.578,6.536,16.048,42.861,88.286,4
2_59,0.334,5,,,1.686,3.865,7.133,12.899,22.264,3
2_60,0.264,,,,,,,,,
2_61,0.272,,,,,,,,2.691,
2_62,0.298,4,,1.012,2.217,4.275,10.197,24.148,57.623,3
2_63,0.327,4,,1.836,2.928,4.707,11.058,16.147,33.076,3
2_64,0.329,6,,,,1.761,5.148,10.704,23.107,3
2_65,0.376,4,,2.35,3.892,5.645,8.058,22.754,49.775,3
2_66,0.311,,,,,,,,,
2_67,0.331,4,,1.983,3.565,7.311,18.864,66.766,149.215,4
2_68,0.306,4,,2.133,3.412,5.977,13.182,40.526,101.076,3
2_69,0.307,5,,,2.155,3.905,9.767,32.584,80.604,3
2_70,0.264,4,,1.84,3.114,6.382,16.271,58.913,138.249,4
2_71,0.3,,,,,,,,,
2_72,0.368,,,,,,,,,
2_73,0.277,,,,,,,,,
2_74,0.204,,,,,,,,,
2_75,0.155,,,,,,,,,
2_76,0.371,4,,0.905,1.514,3.028,6.917,20.866,37.121,3
2_77,0.286,5,,,1.094,1.616,1.493,,,
2_78,0.309,4,,1.948,2.911,5.757,14.888,49.861,103.434,3
2_79,0.291,4,,0.851,2.527,4.949,12.871,45.103,108.025,4
2_80,0.331,,,,,,,,,